id,title,summary,steps,tags,relatedLinks,sourceType,status,hasConflict,conflictNote,rawInputId,userId,createdAt,updatedAt,deletedAt
cmopcax2w0002m27besfk97n7,Scan a Parcel,This procedure outlines the fundamental steps required to successfully scan a parcel using the DHL scanner application. It ensures accurate tracking and proper processing of packages within the logistics network. This SOP applies to all operations personnel responsible for parcel handling and scanning.,"[""Open the designated scanner application on your device."",""Point the scanner's laser or camera directly at the parcel's barcode."",""Listen for an audible beep or observe a visual confirmation (e.g., green light) to confirm a successful scan."",""Carefully place the scanned parcel onto the designated conveyor belt for further processing.""]","[""logistics"",""scanning"",""parcel handling"",""operations"",""outbound""]",[],note,published,false,,cmopcatc10000m27b5yvnzh3o,cmopb26zg0000wdnk6gj7h16t,2026-05-03T05:38:25.400Z,2026-05-08T05:10:05.587Z,2026-05-08T05:10:05.585Z
cmopcc2h50007m27bdgojuj14,Scan Parcel and Place on Conveyor,"This procedure outlines the essential steps for accurately scanning a parcel using a handheld scanner and subsequently placing it onto the conveyor system. It is applicable to all operations personnel responsible for parcel intake or sorting, ensuring proper tracking and efficient flow within the facility.","[""Open the scanner application on your device."",""Aim the scanner at the parcel's barcode, ensuring it is clearly visible."",""Confirm successful scan by verifying the audible beep or visual confirmation on the scanner display."",""Carefully place the scanned parcel onto the designated conveyor belt.""]","[""logistics"",""parcel processing"",""scanning"",""conveyor"",""operations"",""sortation""]",[],note,published,false,,cmopcbytq0005m27bnnmwrvp6,cmopb26zg0000wdnk6gj7h16t,2026-05-03T05:39:19.049Z,2026-05-08T05:09:51.340Z,2026-05-08T05:09:51.338Z
cmopw7lgc000213y4guinj0gl,Manually Process Oversized Items When Scanner Displays Error 404-X,"This procedure provides a temporary workaround for DHL drivers encountering 'Error 404-X' and scanner freezing when quick-scanning oversized items at drop-off points. It details steps for manually selecting the item type before scanning, applicable until a system patch is deployed.","[""If your scanner freezes with 'Error 404-X' when attempting to quick-scan an oversized item, do NOT use the quick-scan button."",""Manually select 'Oversized Load' from the dropdown menu within the scanner application."",""After selecting 'Oversized Load', proceed to scan the item's barcode."",""If the scanner still freezes, force close the scanner application."",""Clear the application cache via the Android settings for the scanner app."",""Log back into the scanner application and retry the scan.""]","[""scanner"",""oversized items"",""troubleshooting"",""driver"",""mobile app"",""error 404-X""]",[],chat,published,false,,cmopw7gnb000013y46u02z7eq,,2026-05-03T14:55:42.684Z,2026-05-06T06:38:49.051Z,
cmopwe9ha000713y44avwb1c3,Resolving CUST-899 Error: Correcting Missing HS Codes for Shipment Clearance,"This SOP outlines the procedure for resolving the CUST-899 error, which occurs when attempting to clear shipments (e.g., bound for Japan) due to a missing Harmonized System (HS) code on the commercial invoice. Following these steps ensures the shipment is correctly processed, avoiding a system-flagged manual audit and a 48-hour package freeze.","[""Identify shipments displaying 'Error CUST-899' during clearance, typically caused by a missing HS (Harmonized System) code on the sender's commercial invoice."",""Look up the correct HS code for the specific goods in the Global Tariff Database."",""Navigate to the 'Clearance Details' tab in the system and enter the correct HS code."",""Generate a new PDF of the updated commercial invoice, ensuring the newly added HS code is clearly visible."",""Upload the updated commercial invoice PDF to the 'Supporting Documents' section of the shipment record."",""After attaching the updated PDF, click the secondary button labeled 'Request Re-evaluation' (often found in a dropdown) instead of 'Submit Clearance' to prompt system re-evaluation without triggering a manual audit.""]","[""logistics"",""customs clearance"",""troubleshooting"",""HS code"",""error handling"",""documentation""]","[""Global Tariff Database""]",screenshot,published,false,,cmopwe1xt000513y4v01wvidq,,2026-05-03T15:00:53.758Z,2026-05-06T06:40:05.135Z,2026-05-06T06:40:05.133Z
cmotourat000710x99adpwara,Respond to Chemical Spills from Leaking Packages,"This procedure outlines the steps to safely contain and clean up minor chemical spills originating from leaking packages on the sorting line. It applies to all operations personnel encountering such incidents and ensures immediate safety, proper cleanup, and incident reporting.","[""Immediately activate the E-Stop to halt the conveyor belt if the spill is associated with a package on the line."",""Ensure all personnel maintain a safe distance of at least 3 meters (10 feet) from the spill area."",""Locate and retrieve the Yellow Spill Kit from its designated location (e.g., Pillar G)."",""Before handling the spill, don the nitrile gloves and goggles provided within the spill kit."",""Carefully pour absorbent granules directly over the entire spill, ensuring full coverage."",""Allow the absorbent granules to clump and solidify for exactly 5 minutes."",""Once solidified, sweep the absorbed material into the red hazmat bin."",""After the spill is contained and cleaned, contact EHS on speed dial 3 to report the incident.""]","[""chemical spill"",""safety"",""hazmat"",""operations"",""sorting line"",""emergency response"",""spill kit""]",[],chat,draft,false,,cmotoukcv0000cze48zwpdhvt,cmopb26zg0000wdnk6gj7h16t,2026-05-06T06:40:51.126Z,2026-05-08T04:55:25.363Z,2026-05-08T04:55:25.360Z
cmowgan6c0001n5x60d8t5avt,How to Resolve Invalid Customer Address Due to Missing Postcode,"This procedure outlines the steps to take when a customer's address is flagged as invalid, specifically due to a missing postcode, preventing booking continuation. It ensures accurate address data and smooth processing of shipments. This applies to all personnel involved in customer booking and data entry.","[""Identify the address validation error, noting the specific indication of a missing postcode for the customer."",""Manually input the correct postcode into the designated address field within the booking system."",""Initiate the address revalidation process to confirm the updated address is now valid."",""Save the validated customer address details."",""Continue with the booking or shipment creation process.""]","[""logistics"",""address validation"",""data entry"",""customer service"",""booking process""]",[],chat,published,false,,cmowgadws0000hjet8zclsr4n,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:04:34.259Z,2026-05-08T05:06:10.842Z,
cmowgfg640003m544xip0e4oi,Manage New Customer Credit Approval and Onboarding Process,"This SOP details the end-to-end process for onboarding new customers and approving credit within DHL Logistics Operations. It outlines how new customers are set up in operational and financial systems, including credit checks and handling approvals or rejections. This procedure applies to Operations, Customer Service, Finance, Credit Control teams, and Management involved in customer onboarding.","[""Initiate New Customer Onboarding Request: Sales Team submits a new customer onboarding request, ensuring all minimum required information (legal company name, registration, addresses, estimated monthly volume, requested credit limit, payment terms) is provided via the approved channel (e.g., email or shared template)."",""Validate Onboarding Request: Operations Team performs an initial validation of the submitted request to ensure all required information and supporting documents are complete. If information is missing, Operations contacts Sales for immediate clarification."",""Perform Credit Evaluation: Finance/Credit Control Team conducts a comprehensive credit evaluation, which includes internal and external credit bureau checks, assessment of requested credit limit, and review of financial documents."",""Determine Credit Approval Decision: Based on the evaluation, Finance/Credit Control approves the customer as a credit customer (with or without conditions like reduced limit or shorter terms) or rejects credit, offering cash-only terms if applicable."",""Set Up Customer in Systems: Upon credit approval, Operations and Finance teams create the customer record in CRM and SAP, assigning appropriate billing and operational roles, and configuring tax and invoicing parameters."",""Confirm Readiness to Stakeholders: Operations confirms readiness for shipment processing to Sales, and Finance monitors initial invoices to ensure correct setup and billing.""]","[""logistics"",""customer onboarding"",""credit approval"",""finance"",""operations"",""sales"",""SOP""]","[""CRM System"",""SAP System""]",docx,published,false,,cmowgf3i400004dfebz3i758d,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:08:18.241Z,2026-05-08T05:51:58.499Z,
cmowgjae5000bm544jihykxzi,Resolve POD Upload Failure due to Large Image File Size,This procedure outlines the steps to troubleshoot and resolve Proof of Delivery (POD) upload failures caused by excessively large image file sizes. It provides guidance on image compression and format optimization to ensure successful uploads. This SOP applies to all personnel responsible for uploading POD images to DHL systems.,"[""Upon encountering a 'File size too large' error during Proof of Delivery (POD) image upload, do not attempt to re-upload the original file."",""Compress the POD image file to reduce its overall size."",""Optimize the image format: convert the image to JPEG format, as it generally offers better compression ratios than PNG for photographic content."",""Upload the newly compressed and optimized image file to the POD system."",""After the upload process is complete, refresh the system screen twice to ensure the POD status is correctly updated and displayed.""]","[""logistics"",""POD"",""upload"",""troubleshooting"",""image optimization"",""delivery"",""system-error""]","[""DHL Proof of Delivery (POD) System User Manual"",""DHL Image Compression Best Practices""]",chat,published,false,,cmowgj26z00014dfe5eso5zq2,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:11:17.597Z,2026-05-08T05:51:58.478Z,
cmowgk8op0009n5x6274r3zmi,Onboard New Employees: System and Access Setup,"This procedure outlines the essential steps for setting up a new DHL employee's digital environment, including account creation and system access. It ensures new hires have the necessary tools and resources from their start date. This guide is primarily for IT and administrative staff responsible for new employee provisioning.","[""Step 1: Create the new employee's Active Directory (AD) account."",""Step 2: Grant email access to the newly created account."",""Step 3: Assign the necessary SAP and CW1 roles. (Note: Delays often occur if SAP access requests are not approved promptly.)"",""Step 4: Share access to the relevant Standard Operating Procedure (SOP) folder.""]","[""new hire"",""onboarding"",""IT"",""access management"",""account setup"",""HR"",""provisioning""]","[""SAP Access Request Process"",""Active Directory User Management Guide"",""DHL Email System Configuration""]",chat,published,false,,cmowgk3h100024dfeqt8gzyh8,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:12:02.041Z,2026-05-08T05:51:58.517Z,
cmowgl2k4000dn5x6wk8mft8g,Troubleshoot Label Printing Issues,"This procedure outlines the steps to resolve common label printing issues, such as labels not printing or appearing blurry. It is primarily used when labels fail to print correctly, often due to printer cache problems, and applies to all DHL personnel involved in label generation and package processing.","[""Restart the printer service."",""Clear the printer queue of any pending print jobs."",""Reprint the label."",""If the label is still blurry or not printing correctly after reprinting, replace the toner cartridge.""]","[""printing"",""labels"",""troubleshooting"",""printer maintenance"",""equipment"",""operations""]",[],chat,published,false,,cmowgkvsi00034dfeip5oz8bb,cmopb26zg0000wdnk6gj7h16t,2026-05-08T05:12:40.756Z,2026-05-08T05:51:58.420Z,
