id,articleId,status,title,summary,steps,tags,action,note,userId,createdAt
cmopcax600004m27bvodiqvhe,cmopcax2w0002m27besfk97n7,draft,Scan a Parcel,This procedure outlines the fundamental steps required to successfully scan a parcel using the DHL scanner application. It ensures accurate tracking and proper processing of packages within the logistics network. This SOP applies to all operations personnel responsible for parcel handling and scanning.,"[""Open the designated scanner application on your device."",""Point the scanner's laser or camera directly at the parcel's barcode."",""Listen for an audible beep or observe a visual confirmation (e.g., green light) to confirm a successful scan."",""Carefully place the scanned parcel onto the designated conveyor belt for further processing.""]","[""logistics"",""scanning"",""parcel handling"",""operations"",""outbound""]",created,Created from note via web upload,cmopb26zg0000wdnk6gj7h16t,2026-05-03T05:38:25.513Z
cmopcc2kg0009m27bgdom1n2s,cmopcc2h50007m27bdgojuj14,draft,Scan Parcel and Place on Conveyor,"This procedure outlines the essential steps for accurately scanning a parcel using a handheld scanner and subsequently placing it onto the conveyor system. It is applicable to all operations personnel responsible for parcel intake or sorting, ensuring proper tracking and efficient flow within the facility.","[""Open the scanner application on your device."",""Aim the scanner at the parcel's barcode, ensuring it is clearly visible."",""Confirm successful scan by verifying the audible beep or visual confirmation on the scanner display."",""Carefully place the scanned parcel onto the designated conveyor belt.""]","[""logistics"",""parcel processing"",""scanning"",""conveyor"",""operations"",""sortation""]",created,Created from note via web upload,cmopb26zg0000wdnk6gj7h16t,2026-05-03T05:39:19.168Z
cmopw7lhm000413y47087u6al,cmopw7lgc000213y4guinj0gl,draft,Manually Process Oversized Items When Scanner Displays Error 404-X,"This procedure provides a temporary workaround for DHL drivers encountering 'Error 404-X' and scanner freezing when quick-scanning oversized items at drop-off points. It details steps for manually selecting the item type before scanning, applicable until a system patch is deployed.","[""If your scanner freezes with 'Error 404-X' when attempting to quick-scan an oversized item, do NOT use the quick-scan button."",""Manually select 'Oversized Load' from the dropdown menu within the scanner application."",""After selecting 'Oversized Load', proceed to scan the item's barcode."",""If the scanner still freezes, force close the scanner application."",""Clear the application cache via the Android settings for the scanner app."",""Log back into the scanner application and retry the scan.""]","[""scanner"",""oversized items"",""troubleshooting"",""driver"",""mobile app"",""error 404-X""]",created,Created from chat via web upload,,2026-05-03T14:55:42.730Z
cmopwe9l7000913y42xqa63aw,cmopwe9ha000713y44avwb1c3,draft,Resolving CUST-899 Error: Correcting Missing HS Codes for Shipment Clearance,"This SOP outlines the procedure for resolving the CUST-899 error, which occurs when attempting to clear shipments (e.g., bound for Japan) due to a missing Harmonized System (HS) code on the commercial invoice. Following these steps ensures the shipment is correctly processed, avoiding a system-flagged manual audit and a 48-hour package freeze.","[""Identify shipments displaying 'Error CUST-899' during clearance, typically caused by a missing HS (Harmonized System) code on the sender's commercial invoice."",""Look up the correct HS code for the specific goods in the Global Tariff Database."",""Navigate to the 'Clearance Details' tab in the system and enter the correct HS code."",""Generate a new PDF of the updated commercial invoice, ensuring the newly added HS code is clearly visible."",""Upload the updated commercial invoice PDF to the 'Supporting Documents' section of the shipment record."",""After attaching the updated PDF, click the secondary button labeled 'Request Re-evaluation' (often found in a dropdown) instead of 'Submit Clearance' to prompt system re-evaluation without triggering a manual audit.""]","[""logistics"",""customs clearance"",""troubleshooting"",""HS code"",""error handling"",""documentation""]",created,Created from screenshot via web upload,,2026-05-03T15:00:53.899Z
cmotorame0001x0uwc84htc9t,cmopwe9ha000713y44avwb1c3,reviewed,,,[],[],status_changed,Reviewed and approved,cmopb26zg0000wdnk6gj7h16t,2026-05-06T06:38:09.541Z
cmotorbi50003x0uw5tx93nsc,cmopw7lgc000213y4guinj0gl,reviewed,,,[],[],status_changed,Reviewed and approved,cmopb26zg0000wdnk6gj7h16t,2026-05-06T06:38:10.686Z
cmotoredj0005x0uwrrmr8fjn,cmopcc2h50007m27bdgojuj14,reviewed,,,[],[],status_changed,Reviewed and approved,cmopb26zg0000wdnk6gj7h16t,2026-05-06T06:38:14.407Z
cmotorhlt0007x0uw7ojlslxt,cmopcax2w0002m27besfk97n7,reviewed,,,[],[],status_changed,Reviewed and approved,cmopb26zg0000wdnk6gj7h16t,2026-05-06T06:38:18.594Z
cmotos4y7000110x9fu587y06,cmopwe9ha000713y44avwb1c3,published,,,[],[],status_changed,Published to knowledge base,cmopb26zg0000wdnk6gj7h16t,2026-05-06T06:38:48.847Z
cmotos5fp000310x9utspsckv,cmopw7lgc000213y4guinj0gl,published,,,[],[],status_changed,Published to knowledge base,cmopb26zg0000wdnk6gj7h16t,2026-05-06T06:38:49.477Z
cmototrze000510x9iwcanip2,cmopwe9ha000713y44avwb1c3,published,Resolving CUST-899 Error: Correcting Missing HS Codes for Shipment Clearance,"This SOP outlines the procedure for resolving the CUST-899 error, which occurs when attempting to clear shipments (e.g., bound for Japan) due to a missing Harmonized System (HS) code on the commercial invoice. Following these steps ensures the shipment is correctly processed, avoiding a system-flagged manual audit and a 48-hour package freeze.","[""Identify shipments displaying 'Error CUST-899' during clearance, typically caused by a missing HS (Harmonized System) code on the sender's commercial invoice."",""Look up the correct HS code for the specific goods in the Global Tariff Database."",""Navigate to the 'Clearance Details' tab in the system and enter the correct HS code."",""Generate a new PDF of the updated commercial invoice, ensuring the newly added HS code is clearly visible."",""Upload the updated commercial invoice PDF to the 'Supporting Documents' section of the shipment record."",""After attaching the updated PDF, click the secondary button labeled 'Request Re-evaluation' (often found in a dropdown) instead of 'Submit Clearance' to prompt system re-evaluation without triggering a manual audit.""]","[""logistics"",""customs clearance"",""troubleshooting"",""HS code"",""error handling"",""documentation""]",deleted,Soft-deleted,cmopb26zg0000wdnk6gj7h16t,2026-05-06T06:40:05.135Z
cmotourn0000910x9rh83by89,cmotourat000710x99adpwara,draft,Respond to Chemical Spills from Leaking Packages,"This procedure outlines the steps to safely contain and clean up minor chemical spills originating from leaking packages on the sorting line. It applies to all operations personnel encountering such incidents and ensures immediate safety, proper cleanup, and incident reporting.","[""Immediately activate the E-Stop to halt the conveyor belt if the spill is associated with a package on the line."",""Ensure all personnel maintain a safe distance of at least 3 meters (10 feet) from the spill area."",""Locate and retrieve the Yellow Spill Kit from its designated location (e.g., Pillar G)."",""Before handling the spill, don the nitrile gloves and goggles provided within the spill kit."",""Carefully pour absorbent granules directly over the entire spill, ensuring full coverage."",""Allow the absorbent granules to clump and solidify for exactly 5 minutes."",""Once solidified, sweep the absorbed material into the red hazmat bin."",""After the spill is contained and cleaned, contact EHS on speed dial 3 to report the incident.""]","[""chemical spill"",""safety"",""hazmat"",""operations"",""sorting line"",""emergency response"",""spill kit""]",created,Created from chat via web upload,cmopb26zg0000wdnk6gj7h16t,2026-05-06T06:40:51.565Z
cmowfyvth0001xl8h37k5gzbp,cmotourat000710x99adpwara,draft,Respond to Chemical Spills from Leaking Packages,"This procedure outlines the steps to safely contain and clean up minor chemical spills originating from leaking packages on the sorting line. It applies to all operations personnel encountering such incidents and ensures immediate safety, proper cleanup, and incident reporting.","[""Immediately activate the E-Stop to halt the conveyor belt if the spill is associated with a package on the line."",""Ensure all personnel maintain a safe distance of at least 3 meters (10 feet) from the spill area."",""Locate and retrieve the Yellow Spill Kit from its designated location (e.g., Pillar G)."",""Before handling the spill, don the nitrile gloves and goggles provided within the spill kit."",""Carefully pour absorbent granules directly over the entire spill, ensuring full coverage."",""Allow the absorbent granules to clump and solidify for exactly 5 minutes."",""Once solidified, sweep the absorbed material into the red hazmat bin."",""After the spill is contained and cleaned, contact EHS on speed dial 3 to report the incident.""]","[""chemical spill"",""safety"",""hazmat"",""operations"",""sorting line"",""emergency response"",""spill kit""]",deleted,Soft-deleted,cmopb26zg0000wdnk6gj7h16t,2026-05-08T04:55:25.363Z
cmowfzj2t0003xl8h2g649tfk,cmopcax2w0002m27besfk97n7,published,,,[],[],status_changed,Published to knowledge base,cmopb26zg0000wdnk6gj7h16t,2026-05-08T04:55:55.734Z
cmowfzjum0005xl8heqvp6wmz,cmopcc2h50007m27bdgojuj14,published,,,[],[],status_changed,Published to knowledge base,cmopb26zg0000wdnk6gj7h16t,2026-05-08T04:55:56.734Z
